company	current_location	ssn	name	mail	user_id	residence	username	birthdate	address	registration	blood_group	station_ID
伊藤運輸合同会社	(Decimal('-29.3221355'), Decimal('68.167592'))	739-65-6275	山田 陽一	matsumototsubasa@gmail.com	2079		btanaka		佐賀県昭島市花川戸10丁目11番12号	04 Sep 2023	A-	256
Brugnaro, Botta e Molesini s.r.l.	(Decimal('-29.297931'), Decimal('38.556476'))	MRNGSN86S65A950N	Simone Falloppio	agaiatto@virgilio.it	1194		garibaldigianluigi		"Piazza Comisso, 42 Appartamento 48
60024, Filottrano (AN)"	10/24/2024, 00:00:00	O-	549
Rodrigues	(Decimal('-72.6160615'), Decimal('-141.740326'))	65287134053	Juliana da Costa	da-cruzhenrique@gmail.com	765		enzorodrigues	1980-11-20		2019-12-05	AB-	467
Rohleder AG	(Decimal('-36.2858295'), Decimal('-126.426260'))	009-32-2807	Gerti Ditschlerin	kohllea@gmx.de	294		ustahr		"Kuhlstr. 5/9
69334 Gerolzhofen"	2020/04/06	O-	64
坂本情報合同会社	(Decimal('-27.2189535'), Decimal('-37.862604'))	682-51-8564	加藤 翔太	sotaro83@gmail.com	1850		manabuyamashita	1937-10-07	長崎県八街市松が谷14丁目9番1号	21 Aug 2025	O+	263
Trujillo-Walter	(Decimal('58.465536'), Decimal('-64.987763'))	499-65-7061	Matthew Moore	thomas09@yahoo.com	828		jimenezpatrick			2020/01/03	B-	293
Jackson, Johnson and Thompson	(Decimal('38.3429505'), Decimal('35.114177'))	440-61-5395	Elizabeth Saunders	maria30@hotmail.com	1894		griffinrachel	1991-05-27	"01694 Howard Lodge Suite 892
Churchborough, AR 31902"	2019-11-24	B+	696
Ferraris-Terragni Group	(Decimal('-53.3242675'), Decimal('-117.261154'))	NOIMRN37R13G957J	Dott. Ivo Falier	bazzilolita@gmail.com	198		tzola	1936-06-01	"Via Nico, 686 Piano 1
01017, Tuscania (VT)"	2023/10/02	B+	52
Lopes	(Decimal('63.8189425'), Decimal('94.334356'))	48105926342	João Felipe Vieira	siqueiragiovanna@gmail.com	1071		bruno68		"Vila Rodrigues
Vila Sesc
89246734 Lima / PR"	2024/09/14	A-	78
佐藤建設合同会社	(Decimal('75.953651'), Decimal('-49.630534'))	620-89-6163	佐藤 花子	ekato@gmail.com	668		xmori	2020-04-24	島根県夷隅郡御宿町木立41丁目19番13号 パレス月島515	01/24/2024, 00:00:00	O+	350
Zobel	(Decimal('-71.780909'), Decimal('34.446151'))	436-87-4825	Friedhold Tintzmann MBA.	ringradmila@yahoo.de	219		nataschalachmann	1954-01-21	"Toralf-Weimer-Gasse 33-70
96599 Eisenberg"	19 Oct 2024	B+	411
da Luz Cirino e Filhos	(Decimal('50.7366235'), Decimal('69.642521'))	92850734683	Ana Cecília Gomes	pastorravi-lucca@uol.com.br	183		mariah58	2002-10-26	"Feira Mendonça, 86
Indaiá
22640899 Leão Alegre / PI"	10/30/2019, 00:00:00	A+	567
Matthäi KG	(Decimal('26.8247775'), Decimal('36.068306'))	707-22-6031	Klaus Dieter Wilms	alfredogehringer@yahoo.de	63		fsorgatz	1997-08-29	"Othmar-Gnatz-Allee 67-68
04188 Wetzlar"	2022-11-06	B+	189
Jacobs Ltd	(Decimal('34.9156685'), Decimal('-110.289776'))	543-69-6722	Matthew Olsen	jeffreyhale@gmail.com	2121		rodgerscorey	1964-12-10	"57845 Clark Drive Suite 611
Allenfurt, CA 70241"	2020/09/16	B-	628
Farias	(Decimal('61.259170'), Decimal('-129.024792'))	60394821769	Sr. Carlos Eduardo da Paz	freitasravi-lucca@ig.com.br	133		camilapeixoto	2025-01-30	"Vale Alexia Cunha, 8
Aarão Reis
83126-184 Vargas / MT"	23 Jul 2025	O-	328
Peixoto Ltda.	(Decimal('5.2162345'), Decimal('25.233754'))	46875210371	Sr. Benício Peixoto	nuneslorena@gmail.com	1803		theodoro97			10/06/2018, 00:00:00	O+	683
Douglas-Phillips	(Decimal('-7.374806'), Decimal('-9.685214'))	139-06-8007	Amber Green	ohughes@gmail.com	1082		gainesdaniel		"47254 Woodard Inlet
Brandonchester, PA 91103"	07/28/2021, 00:00:00	A-	533
Almeida	(Decimal('-8.370196'), Decimal('103.174505'))	01835642780	Gabriel Costela	alvesana-liz@uol.com.br	854		qcassiano		"Vereda Maria Julia Barros, 46
Boa Esperança
33392-516 Teixeira de da Costa / AC"	26 Sep 2024	A+	22
Branch, Hardy and Stewart	(Decimal('29.2212065'), Decimal('44.146598'))	610-77-8092	John Hess	lcobb@yahoo.com	1307		johnsonkenneth		"Unit 8090 Box 4288
DPO AP 10491"	07/03/2019, 00:00:00	AB+	588
Ruggeri, Marzorati e Pizzetti s.r.l.	(Decimal('9.943309'), Decimal('-84.478563'))	FLLNTL90B44M022Q	Antonia Cafarchia	mercedes92@tiscali.it	1302		ysinisi	1924-06-01		09/20/2024, 00:00:00	B+	527
石川印刷株式会社	(Decimal('-31.3245515'), Decimal('140.611699'))	089-01-2327	吉田 くみ子	uikeda@yahoo.com	1541		ryohei29		佐賀県青梅市二つ室29丁目16番8号	03 Aug 2022	O-	494
Wende Reinhardt OHG mbH	(Decimal('77.5528815'), Decimal('-122.144980'))	983-79-5890	Aleksandar Wilmsen	obudig@aol.de	1881		eigenwilligchristian		"Weinhagering 3727
25258 Waren"	2019-01-29	AB-	349
青木ガス合同会社	(Decimal('64.254146'), Decimal('-160.222570'))	712-78-5548	山田 充	chiyo08@hotmail.com	1534		inouekana	1938-05-28		2023-09-13	A+	59
三浦保険合同会社	(Decimal('-48.7356895'), Decimal('-88.226718'))	148-16-8193	伊藤 舞	jishikawa@gmail.com	388		yumikomori	1991-03-07		2019-09-04	AB-	656
鈴木建設株式会社	(Decimal('-34.6569765'), Decimal('-25.914428'))	591-24-9750	山口 淳	wsakamoto@gmail.com	1630		kazuya26	2017-04-16		28 Feb 2022	O-	400
Martin-Miller	(Decimal('-63.6729735'), Decimal('-123.912272'))	837-25-3804	Mr. Tony Baker	vincent54@yahoo.com	1752		oburnett		"6957 Amanda Mountains
Williamville, NJ 07191"	2021-07-04	A+	451
Altera-Barozzi e figli		TRTMRN15E03I034Q	Ettore Lucchesi	qconti@poste.it	1631		amandalombardo	1972-02-13	"Strada Goffredo, 9 Piano 9
22025, Lezzeno (CO)"	03/10/2021, 00:00:00	O+	230
山田農林有限会社	(Decimal('76.802173'), Decimal('5.021222'))	088-88-8553	池田 里佳	zsuzuki@gmail.com	1437		kana67	1941-07-18		2021/05/03	A+	261
Agazzi Group	(Decimal('47.6512645'), Decimal('101.642675'))	GRNNDD50D14L251W	Cristina Leone	hfoa@tin.it	2098		traversalaura		"Strada Guarato, 92 Appartamento 32
17012, Albissola Marina (SV)"	11/27/2022, 00:00:00	AB-	33
Teixeira	(Decimal('-18.538969'), Decimal('-13.229906'))	71864532017	Camila Pereira	vargashellena@gmail.com	1807		mendoncabruno	2015-08-12	"Estação Machado, 46
Ermelinda
16995730 Vieira de Montenegro / AP"	05/23/2023, 00:00:00	AB+	328
Dobes	(Decimal('-9.797501'), Decimal('173.093868'))	910-48-4241	Ing. Marco Schacht	fkobelt@yahoo.de	1401		hoelzenbecherpaulina	1987-07-03	"Roderich-Gieß-Gasse 165
65467 Beilngries"	2019-01-10	O+	408
Hentschel	(Decimal('-61.3785005'), Decimal('-75.242776'))	327-26-1249	Rudolph Keudel B.A.	xkensy@web.de	1687		mohammad07	2020-05-08	"Handeweg 646
84673 Heiligenstadt"	17 Feb 2021	B-	225
Campos e Filhos		29817653455	Sr. Lucas Gomes	kda-costa@hotmail.com	864		sajoao-miguel		"Ladeira Pastor, 92
Guarani
50034395 Ferreira de Souza / RR"	2022-10-02	A+	208
山本運輸合同会社		248-14-5387	岡田 翼	jun87@gmail.com	1428		satomi64		岐阜県大島町松浦町17丁目17番1号 筑土八幡町クレスト340	17 Jun 2022	O-	661
加藤印刷有限会社	(Decimal('-79.666761'), Decimal('-125.735949'))	630-57-6611	橋本 桃子	fukudasotaro@yahoo.com	486		cfujiwara		長崎県夷隅郡御宿町秋葉原29丁目14番19号 コーポ皇居外苑818	02/01/2020, 00:00:00	O+	58
Levy-Kane	(Decimal('-71.403242'), Decimal('131.361099'))	033-09-1528	Rachel Key	jonathankim@yahoo.com	1983		bjohnson	2025-09-16	"67738 Mark Orchard
East Debbiechester, NE 35046"	04/10/2019, 00:00:00	O+	671
Scarlatti s.r.l.	(Decimal('-87.6673795'), Decimal('-25.917165'))	CNTTTE20C27A231C	Pasquale Guidotti	czaccardo@tin.it	1639		matteo05		"Rotonda Solimena, 24 Piano 9
84020, Castelcivita (SA)"	06 Jun 2020	B+	186
Freitas Cavalcante S/A	(Decimal('47.636549'), Decimal('27.676069'))	68901523442	Emanuel da Paz	danilopimenta@yahoo.com.br	809		luiz-miguel37		"Vereda da Mata, 868
Coração Eucarístico
91094-289 Vasconcelos do Galho / MT"	2024/09/06	B-	650
Haley-Torres	(Decimal('70.107336'), Decimal('43.987190'))	692-63-7055	Amy Alexander	contrerasjessica@hotmail.com	252		xmejia	2004-12-02	"Unit 8595 Box 6534
DPO AP 11410"	03/04/2025, 00:00:00	A+	208
松本水産株式会社	(Decimal('56.626369'), Decimal('172.924002'))	579-61-2332	井上 春香	asuka64@yahoo.com	1289		yasuhiroota			07/17/2022, 00:00:00	B-	127
鈴木農林株式会社		547-69-1080	田中 京助	miki60@hotmail.com	2130		osamusuzuki	1984-12-08	富山県青梅市戸島39丁目11番4号 花川戸パレス065	2023-02-20	A+	663
Ortese, Cesarotti e Cusano Group	(Decimal('21.0250755'), Decimal('-114.459605'))	NBLPLM18A10D304I	Ornella Nolcini	vtedesco@alice.it	680		rossanapetrucelli			2022-09-14	A+	439
Castro	(Decimal('17.559105'), Decimal('157.384767'))	80124953760	Emanuella Cavalcante	joanamendonca@yahoo.com.br	1107		hellenaoliveira	1938-12-04	"Conjunto Lorena Albuquerque, 89
Urca
95085353 Souza de Siqueira / SC"	10/25/2018, 00:00:00	O-	424
高橋農林合同会社	(Decimal('-19.297692'), Decimal('-77.982264'))	229-23-8368	太田 直子	satomisakamoto@gmail.com	1931		chiyomatsumoto		福岡県利島村下吉羽42丁目9番17号 西関宿コーポ786	2024-03-14	A+	387
Adams-Brown	(Decimal('23.9299995'), Decimal('148.438172'))	202-61-5065	Paula Anderson	judy21@hotmail.com	120		steven97	2020-07-12	"39520 Dana Row
Port Kelliland, AL 07562"	01/31/2022, 00:00:00	B-	359
Strangio-Martinelli SPA	(Decimal('37.271639'), Decimal('-133.290734'))	BNLGNL24T69I744M	Gelsomina Garibaldi	tonimorricone@gmail.com	1964		costantino55		"Canale Imelda, 3 Appartamento 9
01018, Valentano (VT)"	04/10/2023, 00:00:00	O+	403
Barnes and Sons	(Decimal('36.3504705'), Decimal('113.755158'))	019-56-5625	Isaiah Herrera	brittany08@hotmail.com	1200		simonshannon		"52906 Thomas Canyon Suite 181
New Corey, AS 19069"	2023/03/10	A-	368
山口電気株式会社	(Decimal('-69.4473465'), Decimal('167.103927'))	406-99-0700	斉藤 幹	psato@yahoo.com	1617		zsaito	2003-10-25		04 Aug 2021	AB+	437
Biggen	(Decimal('-80.0844755'), Decimal('-82.503514'))	316-90-1996	Aleksander Sölzer MBA.	umans@gmail.com	2071		hanns96	1997-01-30		2025/03/09	A+	527
伊藤食品有限会社	(Decimal('-19.531089'), Decimal('97.751848'))	824-93-9213	小林 浩	yamadatomoya@hotmail.com	1365		tendo	2000-12-13	山形県横浜市港北区九段南18丁目13番17号 コーポ戸塚町492	11/06/2020, 00:00:00	B-	34
James LLC	(Decimal('-38.705480'), Decimal('137.094499'))	598-89-5278	Richard Moreno	sanchezroy@hotmail.com	1716		alexandramcknight		"748 Laura Junction Apt. 872
Rhodesfort, WA 67522"	13 Aug 2025	AB+	167
Tosi, Scaramucci e Druso s.r.l.	(Decimal('73.370702'), Decimal('-113.916871'))	MPSDRA44R16E594Y	Dott. Laura Vespucci	mazzantiignazio@tim.it	979		cimarosasilvia	1997-05-12		12/15/2023, 00:00:00	B+	14
Farias	(Decimal('-38.6543555'), Decimal('-67.822923'))	49185076201	Raul da Costa	vitoriacunha@hotmail.com	1211		macedosamuel		"Loteamento Teixeira, 62
São Damião
98683177 Cavalcanti Alegre / PA"	23 Apr 2023	B+	373
井上水産合同会社	(Decimal('-32.849494'), Decimal('42.932837'))	433-61-6268	高橋 美加子	naoko75@gmail.com	719		kazuyaogawa	1925-02-27	東京都印旛郡印旛村方京12丁目8番16号 コート芝公園389	2019-10-08	A+	97
Trevisani-Ceschi s.r.l.	(Decimal('77.0823815'), Decimal('27.587448'))	LNZSIA86P25G217T	Achille Verga-Pedroni	lernercamilla@tele2.it	1178		cmannoia		"Piazza Raimondo, 139 Piano 1
09036, Guspini (SU)"	03/02/2025, 00:00:00	A-	168
岡本銀行株式会社		563-88-2696	阿部 太一	yoshidamituru@hotmail.com	1262		mikako77	1991-05-18	石川県横浜市旭区丹勢16丁目20番8号	26 Oct 2019	AB+	431
有限会社加藤ガス	(Decimal('13.941412'), Decimal('173.423382'))	239-99-0368	山下 舞	mikakotanaka@yahoo.com	1931		momoko37	2013-01-02	千葉県福生市小入22丁目12番13号	2024-07-15	O+	362
佐藤情報株式会社	(Decimal('9.340147'), Decimal('-71.065740'))	129-70-0214	山本 花子	akemi86@hotmail.com	596		rsuzuki	1938-01-12	高知県東村山市入谷31丁目25番20号	2024/09/04	B-	55
Barkholz Bruder GmbH & Co. KG		822-56-1394	Vesna Lindner-Hendriks	janosdrewes@gmx.de	500		fstolze		"Ebertstraße 2039
40029 Osterburg"	03/25/2025, 00:00:00	A-	413
松本情報合同会社		023-16-1440	松本 さゆり	zishikawa@gmail.com	1250		shotanakamura			2020-09-13	O-	161
Pires	(Decimal('6.5786155'), Decimal('147.138419'))	59184673001	Yuri Sales	bsilva@hotmail.com	2039		mateus87		"Praia de Gonçalves, 783
Alípio De Melo
67845370 Silveira / RR"	2019-10-06	A-	297
Iannelli-Comencini e figli	(Decimal('-38.0463325'), Decimal('48.953376'))	BRRMRL34E21G237F	Sig.ra Maura Zaccardo	aurora50@poste.it	575		ciampimaria	1938-03-25		10/17/2021, 00:00:00	O+	465
Flaiano-Spinelli SPA	(Decimal('-75.635474'), Decimal('32.650471'))	DSCVNI85A55M381T	Sig.ra Alina Nosiglia	antonia69@libero.it	304		mtrentini	1912-03-25	"Piazza Antonioni, 36 Piano 5
00179, Roma (RM)"	10/11/2021, 00:00:00	O-	698
Ramos	(Decimal('-67.447431'), Decimal('-26.784525'))	96824375047	Valentina Cavalcanti	martinsmaria-luiza@yahoo.com.br	525		castrocarlos-eduardo	1986-10-16	"Vereda Moura, 99
Ipe
05011-292 da Conceição do Amparo / PR"	01 Jan 2025	B+	452
Löffler AG	(Decimal('87.3169375'), Decimal('63.911406'))	525-42-6399	Pietro Hoffmann-Staude	justinepaertzelt@gmail.com	746		meike34	2014-04-03	"Katrin-Hellwig-Straße 72
13175 Saarbrücken"	2023/06/23	O+	330
株式会社渡辺食品	(Decimal('-62.766362'), Decimal('99.926025'))	267-87-8780	石川 充	kobayashitaichi@hotmail.com	1597		harukawatanabe	1954-01-28	徳島県稲城市中三依37丁目25番8号 クレスト筑土八幡町130	01/02/2019, 00:00:00	A+	497
Christoph GmbH & Co. KGaA	(Decimal('39.9618105'), Decimal('-119.702243'))	225-95-9167	Ursula Niemeier-Boucsein	marie-theres03@gmx.de	1485		seifertralf-peter	1962-10-16	"Ziegertgasse 841
82308 Mettmann"	14 Dec 2019	B-	573
Paolucci SPA	(Decimal('-59.9938685'), Decimal('55.967073'))	CRVCCL49E04H086N	Carlo Pedersoli	fmercati@tim.it	335		robertotoldo	1953-10-01	"Piazza Trapani, 31
63836, Monte Vidon Corrado (FM)"	2023/04/23	AB+	261
Chechi e figli	(Decimal('-10.6012815'), Decimal('-125.313640'))	CHNGRM83H69B880X	Dionigi Viola-Lombardi	evangelistaoscuro@gmail.com	1447		jacopotrussardi		"Vicolo Giulia, 36
90017, Porticello (PA)"	2020-03-10	O+	94
株式会社小林情報	(Decimal('65.3716505'), Decimal('152.470680'))	128-01-2236	鈴木 涼平	hidekihasegawa@hotmail.com	1298		tomoya79		新潟県立川市前弥六41丁目20番4号	07/15/2021, 00:00:00	B+	316
Wallace-Olsen	(Decimal('88.342735'), Decimal('111.085212'))	716-40-1230	Melissa Banks	freemanerik@yahoo.com	1620		melaniesmith	1956-04-28	"56309 Frank Centers
North Olivia, TX 63996"	10/02/2019, 00:00:00	AB+	217
佐々木電気有限会社	(Decimal('-61.177270'), Decimal('68.716743'))	555-67-7594	近藤 陽子	ryohei94@yahoo.com	866		yuitakahashi		長崎県台東区羽折町32丁目17番1号 鍛冶ケ沢コート975	07 Nov 2024	A-	604
Bolzmann KGaA	(Decimal('-75.2518635'), Decimal('111.490398'))	497-67-9424	Prof. Theresia Henk MBA.	qklapp@gmail.com	108		rognerivonne		"Otto-Koch-Weg 6640
69026 Teterow"	2023-01-11	AB+	178
山田農林有限会社	(Decimal('-86.1225855'), Decimal('-174.333458'))	284-33-4350	前田 直子	yamashitajun@hotmail.com	2100		yoko99	2005-11-05	愛知県豊島区富久町31丁目21番18号 シャルム鳥越893	11/08/2024, 00:00:00	A+	123
Hartman-Salazar	(Decimal('-3.525837'), Decimal('134.273887'))	201-09-6569	Denise Allen	josephillips@yahoo.com	1105		daniel10	2014-12-28	"2547 Kelly Creek
Michelleland, VA 61803"	2019-06-14	O+	484
木村運輸合同会社	(Decimal('17.8170895'), Decimal('88.545016'))	046-23-6271	橋本 結衣	rikanakamura@gmail.com	355		caoki		三重県川崎市中原区隼町42丁目18番10号 パーク油井736	03/26/2024, 00:00:00	A+	62
Zacco, Panzera e Nonis Group	(Decimal('6.1666785'), Decimal('129.058538'))	MNTRZO97R48D787V	Antonina Luxardo	giacobbe90@libero.it	424		blegnante	1980-06-25	"Canale Martino, 83 Appartamento 1
92028, Naro (AG)"	2020-07-12	B+	141
高橋保険有限会社	(Decimal('2.833443'), Decimal('-82.378444'))	509-76-6163	近藤 陽一	tomoya91@gmail.com	843		kenichiwatanabe		愛知県長生郡長生村氏家新田32丁目25番10号	2021/07/17	A-	144
清水保険合同会社	(Decimal('-53.714890'), Decimal('-167.869433'))	813-75-6643	井上 花子	itokaori@gmail.com	2187		takahashijun		神奈川県君津市大中2丁目11番14号 パーク長畑611	2019/01/13	A+	107
合同会社山口水産	(Decimal('-48.740267'), Decimal('-83.611110'))	607-29-0681	鈴木 翔太	kobayashikana@hotmail.com	856		yasuhiro82	1911-07-27	鹿児島県鎌ケ谷市大京町36丁目23番14号 コート下吉羽768	2024/09/27	A-	40
Henck GmbH & Co. KG	(Decimal('87.8602675'), Decimal('94.870723'))	573-97-9013	Kornelia Textor	annedore23@web.de	2172		holstenvaleria	1980-11-28	"Elke-Heuser-Straße 6-9
74382 Bützow"	12/31/2020, 00:00:00	AB-	73
Clayton-Clarke	(Decimal('58.705910'), Decimal('41.570617'))	125-05-4664	Jacqueline Rodriguez	erik72@gmail.com	1259		sarahlopez			06/05/2023, 00:00:00	A-	151
Santos - ME	(Decimal('53.4021595'), Decimal('117.316223'))	35042769161	Pietra Câmara	fernandesgabrielly@hotmail.com	1304		liviabarbosa	1964-05-17	"Núcleo Nathan Machado, 27
Aeroporto
01659228 Borges / AL"	07/27/2022, 00:00:00	O-	347
Grasso, Giannone e Montessori e figli	(Decimal('-38.6045675'), Decimal('-121.945892'))	BRNMRA20M52B129K	Sig.ra Fabia Tarantini	antoniocomeriato@hotmail.it	1027		martinotrincavelli	1991-09-03	"Strada Andreotti, 4 Appartamento 9
17047, Vado Ligure (SV)"	2025/03/20	B-	598
Murialdo-Farinelli s.r.l.	(Decimal('19.8315145'), Decimal('-124.662429'))	NTNVCR45E25L084N	Paloma Badoer	toniaferrata@virgilio.it	1529		spapetti		"Vicolo Nicola, 1
64046, Montorio Al Vomano (TE)"	2024/03/11	AB-	170
Schleich Müller GbR	(Decimal('-43.660485'), Decimal('-38.488531'))	626-41-6419	Dr. Viola Jockel B.Sc.	thaddaeusgirschner@web.de	951		ybecker	1994-10-09	"Claire-Scheel-Platz 6/6
48413 Berchtesgaden"	2024-05-30	A-	702
Porto	(Decimal('-67.7969775'), Decimal('-122.505293'))	87513649057	Heloisa Fogaça	jose-miguel22@bol.com.br	675		siqueirapedro-miguel		"Viaduto de Abreu, 78
Camponesa 2ª Seção
35909-907 da Luz / AM"	03 Mar 2019	B-	631
鈴木運輸合同会社	(Decimal('27.298690'), Decimal('-128.749483'))	623-15-1177	加藤 知実	tsubasasasaki@hotmail.com	116		zsuzuki	2014-12-18	富山県府中市南赤田36丁目25番11号	2022/09/21	AB+	522
Cattaneo, Chechi e Pagliaro s.r.l.	(Decimal('33.817762'), Decimal('34.651775'))	MEONNT69P17E789Y	Antonino Giulietti-Brunelleschi	bflaiano@tiscali.it	1819		visintinivito		"Via Giacomo, 16
10081, San Giovanni Canavese (TO)"	01 May 2024	AB+	646
Azevedo e Filhos	(Decimal('-72.429359'), Decimal('26.978717'))	70489315666	Catarina Fonseca	vasconcelosjoao-felipe@gmail.com	102		caroline07		"Residencial Maitê Mendonça, 1
Lagoinha
28413-125 da Rosa das Pedras / GO"	2022-06-08	A-	386
Burke and Sons	(Decimal('-11.0517525'), Decimal('44.959648'))	741-28-8336	Robert Williams	stricklandemily@hotmail.com	1328		ccisneros			10 Oct 2020	B+	241
Kemp-Fernandez	(Decimal('83.0532505'), Decimal('178.702073'))	770-91-1261	Amanda Marshall	christopher35@hotmail.com	36		foleycarol			09 Jun 2023	AB+	650
Löffler GmbH & Co. KGaA	(Decimal('43.676342'), Decimal('-16.173597'))	470-67-1324	Jane van der Dussen	miroslav11@hotmail.de	447		gabrielehoefig		"Frank-Michael-Fliegner-Weg 1488
18965 Soltau"	2023-03-24	O+	476
Huhn KG	(Decimal('53.753712'), Decimal('93.265732'))	877-98-5303	Christa Heydrich-Loos	jgraf@googlemail.com	500		wberger		"Schollring 81
80291 Eberswalde"	2023-06-16	O+	296
合同会社鈴木情報	(Decimal('-15.539939'), Decimal('106.072602'))	861-17-7375	前田 太郎	suzukihiroshi@hotmail.com	966		hashimotoakira		山口県横浜市中区三筋4丁目13番14号 橋場ハイツ236	04/13/2025, 00:00:00	AB-	85
Fuseli Group	(Decimal('-3.4036595'), Decimal('-126.487769'))	LNTVNN59H13E464E	Gioele Iannelli-Segni	agostinogarozzo@tin.it	2115		etosi	1916-08-27	"Contrada Mogherini, 0
26031, Isola Dovarese (CR)"	03/07/2023, 00:00:00	A-	496
Correia S.A.	(Decimal('89.384122'), Decimal('-37.379464'))	02136497804	Marcos Vinicius Andrade	iazevedo@gmail.com	543		iandrade	2006-03-30	"Favela Bruna Almeida, 32
Varzea Da Palma
42465207 Moraes / ES"	16 Jul 2019	B+	133
石井銀行有限会社	(Decimal('61.811825'), Decimal('-73.747906'))	837-35-6897	木村 晃	ssato@gmail.com	1878		taroaoki		和歌山県横浜市磯子区麹町7丁目21番10号	2022-01-26	AB+	616
Filippelli, Brugnaro e Trapani e figli	(Decimal('42.0127275'), Decimal('139.531712'))	SMTCML48D70C446B	Flavio Montalcini-Palumbo	vanessa29@gmail.com	623		ottone56	1925-03-18	"Rotonda Blasi, 90 Appartamento 3
40127, San Donnino (BO)"	15 Dec 2019	AB+	84
Wesack AG	(Decimal('4.1771385'), Decimal('-15.046689'))	593-29-0354	Hartmut Gute-Sölzer	paffrathbetti@googlemail.com	963		antoniokrein	1945-06-19	"Rosenowstr. 6-1
70160 Lübz"	08 Apr 2020	O+	462
Chechi, Guicciardini e Ritacca SPA	(Decimal('-27.815164'), Decimal('-101.139423'))	SLVMCA13P55B664B	Danilo Pertini	mariobiagiotti@hotmail.com	821		florioivan	2025-09-12	"Via Ermes, 7
48031, Bagnara Di Romagna (RA)"	05/06/2025, 00:00:00	O+	311
Lopez and Sons	(Decimal('-89.4663645'), Decimal('76.576172'))	796-97-5318	Kevin Campbell	lynn66@yahoo.com	1978		xscott	2023-12-31	"268 Ball Causeway Suite 510
Perryton, WA 97344"	2020/12/18	AB+	145
Draghi-Costanzi s.r.l.	(Decimal('-56.704001'), Decimal('83.414517'))	LGRFRN05L11B534D	Antonina Bruno	giorgiocalgari@hotmail.it	1691		agostinisimone			2025-09-02	B+	572
Toso-Comeriato e figli	(Decimal('-25.6577295'), Decimal('-16.951426'))	TBLNZE86C60I793H	Orazio Prada-Palumbo	irmacerquiglini@hotmail.it	1668		vasarieva	2014-01-28	"Strada Malpighi, 48 Piano 6
12077, Prunetto (CN)"	2020/09/07	AB-	398
株式会社山崎電気	(Decimal('89.870310'), Decimal('-140.554057'))	080-03-1074	藤井 陽一	yuimori@hotmail.com	912		yumiko03		三重県白井市睦42丁目20番13号 コーポ長畑078	04 Nov 2018	AB-	63
Weinhage Geißler KGaA	(Decimal('-4.8636475'), Decimal('-80.420533'))	829-76-2250	Robert Kohl	horst86@googlemail.com	1017		ben85		"Etzoldgasse 89
85276 Schwäbisch Hall"	07/03/2023, 00:00:00	B+	307
Sá	(Decimal('-57.474393'), Decimal('-36.947249'))	72058391497	Léo Fernandes	upinto@yahoo.com.br	451		ferreiraolivia	1949-08-15		31 Dec 2019	O-	99
Fonseca Ltda.	(Decimal('-48.0827785'), Decimal('-7.988590'))	37201465880	Sra. Clara Porto	fonsecaenrico@hotmail.com	928		caldeiradaniel	1914-10-11	"Estrada de Leão, 649
Novo Aarão Reis
76064-075 Vieira da Praia / PA"	2024/03/14	B-	223
Johnson, Shaw and Mendoza	(Decimal('26.8868375'), Decimal('-12.690946'))	598-15-1716	Jasmine Wiley	richardsjacob@gmail.com	462		smithmatthew	1948-10-25	"393 Smith Hollow
South Roberto, DC 26629"	2019-02-19	A-	53
Mendes	(Decimal('-5.368150'), Decimal('174.647716'))	70319864278	Pedro Miguel da Conceição	evelyngomes@uol.com.br	159		cirinomaria-liz	1924-07-30	"Viaduto de Cunha, 74
Araguaia
18437110 Fernandes / DF"	19 Jul 2023	AB+	331
da Paz S.A.		63147890520	Srta. Luísa Campos	marina42@gmail.com	1978		ottocosta		"Avenida Barros, 32
Savassi
84552439 Rezende / MS"	2021/05/05	B-	625
合同会社森銀行	(Decimal('-84.729232'), Decimal('163.472813'))	181-33-7556	山下 花子	yoko80@gmail.com	752		yuta77		富山県香取郡東庄町北上野20丁目7番7号 睦アーバン326	10/22/2023, 00:00:00	B-	682
Aragão Aragão - EI	(Decimal('-33.9035335'), Decimal('75.376351'))	72014596867	Brayan Cavalcanti	montenegromariah@uol.com.br	938		jesusbryan		"Avenida Moura
Dom Joaquim
49084515 Azevedo / DF"	2025-02-08	O-	393
Souza S/A	(Decimal('2.5148605'), Decimal('-119.078485'))	25908417602	Catarina Vieira	moreiraamanda@gmail.com	1875		maria-lizandrade	1980-09-15	"Vila de Câmara, 794
Marajó
56397-807 Monteiro de Oliveira / RN"	10 Sep 2023	B+	266
Prati, Nonis e Delle e figli	(Decimal('-16.416403'), Decimal('5.495153'))	DRSBRC17L24L235X	Gustavo Canil	jsermonti@virgilio.it	1505		miccaetta		"Strada Milo, 24
43045, Piantonia (PR)"	09 Aug 2019	B+	640
合同会社森通信	(Decimal('-42.7643665'), Decimal('-98.460311'))	165-71-9744	中村 里佳	mainakamura@hotmail.com	163		asuka43			2021-02-07	O+	44
Caironi Group	(Decimal('9.1882835'), Decimal('123.767935'))	LSAGNN78S46G639H	Romana Cibin	napoleonebulzoni@tim.it	1449		piersantichinnici		"Via Tirabassi, 86 Appartamento 4
27048, Sommo (PV)"	25 Apr 2021	O+	686
